Id,Amount,Currency,Year,Work experience,Education,Company size,Designation,Status,Created at,Updated at,Primary technology,Pegged salary,Advice,Company base lk,Id [Salary votes],Vote type [Salary votes],Created at [Salary votes],Updated at [Salary votes]
35,265000,LKR,2022,4_to_6,masters,100_to_500,associate_tech_lead,approved,5/24/2022 19:23,5/24/2022 19:23,c#,TRUE, - ,TRUE,,,,
36,90000,LKR,2016,0_to_1,bachelors_degree,100_to_500,software_engineer,approved,5/24/2022 19:45,5/24/2022 19:45,asp_net,FALSE, - ,TRUE,,,,
37,1850,EUR,2022,4_to_6,bachelors_degree,20_to_50,tech_lead,approved,5/24/2022 19:58,5/24/2022 19:58,go,TRUE, - ,TRUE,,,,
38,350000,LKR,2022,7_to_9,masters,more_than_500,qa_lead,approved,5/25/2022 1:09,5/25/2022 1:09,c,FALSE, - ,TRUE,,,,
39,200000,LKR,2022,0_to_1,bachelors_degree,more_than_500,qa_engineer,approved,5/25/2022 1:10,5/25/2022 1:10,c++,FALSE, - ,TRUE,,,,
40,267000,LKR,2022,1_to_3,bachelors_degree,more_than_500,senior_qa_engineer,approved,5/25/2022 1:14,5/25/2022 1:14,c++,FALSE, - ,TRUE,,,,
41,390000,LKR,2022,7_to_9,bachelors_degree,more_than_500,qa_lead,approved,5/25/2022 1:21,5/25/2022 1:21,c++,FALSE, - ,TRUE,,,,
42,7000,USD,2022,4_to_6,bachelors_degree,20_to_50,software_engineer,approved,5/25/2022 2:16,5/25/2022 2:16,java,FALSE, - ,TRUE,,,,
43,260000,LKR,2022,1_to_3,bachelors_degree,100_to_500,software_engineer,approved,5/25/2022 4:00,5/25/2022 4:00,java,TRUE, - ,TRUE,,,,
44,450000,LKR,2022,4_to_6,bachelors_degree,20_to_50,software_engineer,approved,5/25/2022 4:07,5/25/2022 4:07,java,TRUE, - ,TRUE,12,accurate,5/25/2022 4:42,5/25/2022 4:42
45,160000,LKR,2022,1_to_3,bachelors_degree,100_to_500,software_engineer,approved,5/25/2022 4:13,5/25/2022 4:13,javascript,FALSE,"- Have strong fundamentals knowledge
- Master Data Structures and Algorithms
- Get a cloud cert (AWS/Azure)
- Never stop learning. Make learning a part of you routine.
- You should never stuck in comfort zone in your job. Always learn things outside of work to keep the momentum going.
- Maintain GitHub account. Contribute to open-source projects",TRUE,,,,
46,3562,USD,2022,10_to_14,bachelors_degree,more_than_500,senior_tech_lead,approved,5/25/2022 5:23,5/25/2022 5:23,java,TRUE, - ,TRUE,,,,
47,77000,LKR,2022,0_to_1,bachelors_degree,more_than_500,associate_software_engineer,approved,5/25/2022 6:58,5/25/2022 6:58,java,FALSE, - ,TRUE,,,,
48,55000,LKR,2022,1_to_3,bachelors_degree,100_to_500,software_engineer,approved,5/25/2022 7:17,5/25/2022 7:17,java,FALSE, - ,TRUE,24,fake,5/28/2022 3:30,5/28/2022 3:30
49,600000,LKR,2022,4_to_6,bachelors_degree,50_to_100,senior_software_engineer,approved,5/25/2022 7:21,5/25/2022 7:21,python,TRUE, - ,TRUE,,,,
50,40000,LKR,2014,0_to_1,bachelors_degree,100_to_500,associate_software_engineer,approved,5/25/2022 8:48,5/25/2022 8:48,c#,FALSE, - ,TRUE,,,,
51,1800,EUR,2022,7_to_9,bachelors_degree,10_to_20,tech_lead,approved,5/25/2022 8:59,5/25/2022 8:59,reactjs,TRUE,"When starting, always lookout for the place which gives you more experience and has good processes.",TRUE,,,,
52,330000,LKR,2022,4_to_6,bachelors_degree,100_to_500,associate_tech_lead,approved,5/25/2022 9:23,5/25/2022 9:23,java,TRUE, - ,TRUE,,,,
53,110000,LKR,2022,1_to_3,diploma,more_than_500,senior_system_engineer,approved,5/25/2022 9:31,5/25/2022 9:31,sql,FALSE, - ,TRUE,,,,
54,765000,LKR,2022,7_to_9,bachelors_degree,100_to_500,senior_tech_lead,approved,5/25/2022 9:51,5/25/2022 9:51,c#,TRUE, - ,TRUE,,,,
55,130000,LKR,2022,1_to_3,bachelors_degree,100_to_500,associate_software_engineer,approved,5/25/2022 10:14,5/25/2022 10:14, - ,TRUE, - ,TRUE,,,,
56,440000,LKR,2022,1_to_3,bachelors_degree,100_to_500,senior_software_engineer,approved,5/25/2022 10:29,5/25/2022 10:29,java,FALSE, - ,TRUE,,,,
57,10000,LKR,2016,0_to_1,diploma,more_than_500, - ,approved,5/25/2022 10:32,5/25/2022 10:32,c#,FALSE, - ,TRUE,,,,
58,120000,LKR,2018,1_to_3,higher_diploma,20_to_50,product_manager,approved,5/25/2022 10:33,5/25/2022 10:33, - ,FALSE, - ,TRUE,,,,
59,363,GBP,2022,1_to_3,bachelors_degree,100_to_500,software_engineer,approved,5/25/2022 11:54,5/25/2022 11:54,java,TRUE, - ,TRUE,,,,
60,225000,LKR,2019,7_to_9,bachelors_degree,more_than_500,senior_software_engineer,approved,5/25/2022 12:59,5/25/2022 12:59, - ,FALSE, - ,TRUE,,,,
61,150000,LKR,2020,4_to_6,bachelors_degree,more_than_500,senior_business_analyst,approved,5/25/2022 13:08,5/25/2022 13:08, - ,FALSE, - ,TRUE,,,,
62,2600,USD,2022,4_to_6,masters,more_than_500,associate_tech_lead,approved,5/25/2022 13:44,5/25/2022 13:44,java,TRUE, - ,FALSE,,,,
63,2500,USD,2019,1_to_3,bachelors_degree,10_to_20,devops_engineer,approved,5/25/2022 15:34,5/25/2022 15:34,django,FALSE, - ,FALSE,,,,
64,1500,GBP,2022,7_to_9,masters,below_10,tech_lead,approved,5/25/2022 16:59,5/25/2022 16:59,c#,TRUE, - ,FALSE,,,,
65,350000,LKR,2022,4_to_6,bachelors_degree,20_to_50,senior_devops_engineer,approved,5/25/2022 17:20,5/25/2022 17:20,asp_net,FALSE, - ,FALSE,,,,
66,1600,USD,2022,1_to_3,masters,20_to_50,software_engineer,approved,5/25/2022 18:34,5/25/2022 18:34,php,TRUE, - ,FALSE,,,,
67,2700,GBP,2022,4_to_6,bachelors_degree,more_than_500,software_engineer,approved,5/26/2022 1:58,5/26/2022 1:58,swift,FALSE, - ,FALSE,,,,
68,275,USD,2022,1_to_3,higher_diploma,10_to_20,associate_software_engineer,approved,5/26/2022 3:46,5/26/2022 3:46,javascript,FALSE, - ,FALSE,,,,
69,8500,SGD,2022,10_to_14,bachelors_degree,more_than_500,lead_security_engineer,approved,5/26/2022 6:07,5/26/2022 6:07, - ,TRUE,"Get the Right Certs CISSP, CCSP , ISO 270001 Related etc ",FALSE,,,,
70,245000,LKR,2022,4_to_6,bachelors_degree,more_than_500,senior_software_engineer,approved,5/26/2022 7:14,5/26/2022 7:14,c#,FALSE, - ,FALSE,,,,
71,600,USD,2022,0_to_1,bachelors_degree,100_to_500,software_engineer,approved,5/26/2022 7:20,5/26/2022 7:20,python,TRUE, - ,FALSE,,,,
72,110000,LKR,2017,1_to_3,bachelors_degree,100_to_500,senior_software_engineer,approved,5/27/2022 8:53,5/27/2022 8:53,angularjs,FALSE, - ,TRUE,,,,
73,650000,LKR,2022,10_to_14,masters,more_than_500,senior_product_manager,approved,5/27/2022 10:52,5/27/2022 10:52, - ,FALSE,"Work hard

Get yourself certified in different stage of your career.",TRUE,,,,
74,1007,USD,2022,1_to_3,bachelors_degree,100_to_500,software_engineer,approved,5/27/2022 14:54,5/27/2022 14:54,c#,TRUE, - ,TRUE,,,,
75,150000,LKR,2022,1_to_3,bachelors_degree,100_to_500,product_manager,approved,5/27/2022 14:55,5/27/2022 14:55,python,FALSE,"Get yourself certified with professional certificates such as CSPO,CSM to get additional qualifications to your profile. ",TRUE,,,,
76,450000,LKR,2022,4_to_6,bachelors_degree,more_than_500,tech_lead,approved,5/27/2022 15:07,5/27/2022 15:07,angular,FALSE, - ,TRUE,,,,
77,120000,LKR,2022,1_to_3,bachelors_degree,100_to_500,associate_system_engineer,approved,5/27/2022 15:09,5/27/2022 15:09, - ,FALSE,Apply to hSenid,TRUE,,,,
78,200000,LKR,2022,4_to_6,bachelors_degree,more_than_500,security_engineer,approved,5/27/2022 15:41,5/27/2022 15:41, - ,FALSE,"Focus on the latest trends.
Cloud is the future.",TRUE,,,,
79,450000,LKR,2022,7_to_9,bachelors_degree,10_to_20,associate_tech_lead,approved,5/27/2022 15:51,5/27/2022 15:51,java,FALSE, - ,TRUE,,,,
80,1200,USD,2022,4_to_6,bachelors_degree,more_than_500,senior_system_engineer,approved,5/27/2022 16:15,5/27/2022 16:15,python,TRUE,Focus on Cloud technologies and python,TRUE,,,,
81,75000,LKR,2022,1_to_3,bachelors_degree,more_than_500,system_engineer,approved,5/27/2022 16:18,5/27/2022 16:18, - ,FALSE, - ,TRUE,22,fake,5/28/2022 3:22,5/28/2022 3:22
82,160000,LKR,2019,1_to_3,bachelors_degree,20_to_50,security_engineer,approved,5/27/2022 16:32,5/27/2022 16:32, - ,FALSE,Learn the basics before getting into the more advanced topics,TRUE,,,,
83,95000,LKR,2022,1_to_3,bachelors_degree,20_to_50,associate_software_engineer,approved,5/27/2022 16:43,5/27/2022 16:43,reactjs,TRUE, - ,TRUE,,,,
84,368000,LKR,2022,4_to_6,bachelors_degree,20_to_50,senior_software_engineer,approved,5/27/2022 16:49,5/27/2022 16:49,java,FALSE, - ,TRUE,,,,
85,1400,USD,2022,4_to_6,bachelors_degree,50_to_100,senior_business_analyst,approved,5/27/2022 16:52,5/27/2022 16:52,angular,TRUE, - ,TRUE,"20,25","accurate,fake","May 28, 2022 02:54,May 28, 2022 05:25","May 28, 2022 02:54,May 28, 2022 05:25"
86,250000,LKR,2022,1_to_3,bachelors_degree,100_to_500,devops_engineer,approved,5/27/2022 17:01,5/27/2022 17:01,python,TRUE, - ,TRUE,,,,
87,100000,LKR,2021,1_to_3,bachelors_degree,20_to_50,associate_devops_engineer,approved,5/27/2022 17:07,5/27/2022 17:07, - ,FALSE, - ,TRUE,,,,
88,110000,LKR,2022,0_to_1,diploma,20_to_50,associate_software_engineer,approved,5/27/2022 17:40,5/27/2022 17:40,javascript,TRUE,Gather technical knowledge and experience rather than certifications.,TRUE,,,,
89,85000,LKR,2022,1_to_3,bachelors_degree,10_to_20,software_engineer,approved,5/27/2022 18:22,5/27/2022 18:22,php,FALSE, - ,TRUE,,,,
90,300000,USD,2019,10_to_14,bachelors_degree,100_to_500,tech_lead,rejected,5/27/2022 18:34,5/27/2022 20:05,c#,TRUE, - ,TRUE,,,,
91,120000,LKR,2022,1_to_3,bachelors_degree,more_than_500,associate_software_engineer,approved,5/27/2022 18:48,5/27/2022 18:48,reactjs,FALSE, - ,TRUE,,,,
92,210000,LKR,2022,4_to_6,bachelors_degree,100_to_500,senior_software_engineer,approved,5/27/2022 18:59,5/27/2022 18:59,.net,FALSE, - ,TRUE,,,,
93,15000,LKR,2021,1_to_3,bachelors_degree,50_to_100,senior_frontend_engineer,approved,5/27/2022 19:02,5/27/2022 19:02,javascript,FALSE,Use your time in learning new techs and practice more when you are learning. Come out from tutorial hell ,FALSE,21,fake,5/28/2022 3:22,5/28/2022 3:22
94,1500,USD,2022,4_to_6,bachelors_degree,10_to_20,lead_security_engineer,approved,5/27/2022 20:00,5/27/2022 20:00, - ,TRUE,Don't afraid to request the industry package and do not under estimate the value of your skills and experience you gained. ,FALSE,19,accurate,5/28/2022 2:53,5/28/2022 2:53
95,140000,LKR,2022,1_to_3,bachelors_degree,50_to_100,soc_engineer,approved,5/27/2022 23:54,5/27/2022 23:54, - ,FALSE,Right from the early stages of your career work of certifications and keep learning. The opportunities will present themselves,TRUE,,,,
96,150000,LKR,2022,0_to_1,bachelors_degree,50_to_100,software_engineer,approved,5/28/2022 1:04,5/28/2022 1:04,javascript,FALSE, - ,TRUE,,,,
97,3000,USD,2022,15+,masters,100_to_500,senior_product_manager,approved,5/28/2022 1:39,5/28/2022 1:39,sql,TRUE,USD salary,FALSE,18,accurate,5/28/2022 2:53,5/28/2022 2:53
98,891,USD,2022,1_to_3,bachelors_degree,50_to_100,software_engineer,approved,5/28/2022 1:57,5/28/2022 1:57,javascript,TRUE,"Try to work for a company with foreign administration.
Get the basics solidly ",TRUE,,,,
99,2000,USD,2022,15+,bachelors_degree,more_than_500, - ,approved,5/28/2022 2:36,5/28/2022 2:36, - ,TRUE, - ,TRUE,,,,
100,520,GBP,2022,1_to_3,masters,100_to_500,technical_trainer,approved,5/28/2022 3:01,5/28/2022 3:01,node_js,TRUE,Check the floor value when you join pegged company,TRUE,,,,
101,3770000,LKR,2022,10_to_14,masters,50_to_100,senior_product_manager,rejected,5/28/2022 3:23,6/11/2022 15:40, - ,FALSE, - ,TRUE,,,,
102,120000,LKR,2022,1_to_3,diploma,more_than_500,software_engineer,approved,5/28/2022 3:38,5/28/2022 3:38,angular,FALSE, - ,TRUE,,,,
103,160000,LKR,2022,1_to_3,bachelors_degree,more_than_500,associate_software_engineer,approved,5/28/2022 3:56,5/28/2022 3:56,java,FALSE, - ,TRUE,,,,
104,120000,LKR,2022,0_to_1,bachelors_degree,100_to_500,network_engineer,approved,5/28/2022 4:23,5/28/2022 4:23, - ,FALSE, - ,TRUE,,,,
105,197000,LKR,2022,1_to_3,bachelors_degree,20_to_50,frontend_developer,approved,5/28/2022 6:42,5/28/2022 6:42,typescript,FALSE,"I am a self-taught software developer. ( My Bachelor's degree is in Bio science ) 

What I have learned :
* The Internet has everything for free. Teach yourself how to learn from the internet
* Allways stick with basics
* Build projects ( It does not matter whether it's a small project or big one )
* Keep learning.
* Never give up


",TRUE,,,,
106,272000,LKR,2022,10_to_14,masters,more_than_500,senior_qa_lead,approved,5/28/2022 6:49,5/28/2022 6:49, - ,FALSE,To earn more be qa automation engineer,TRUE,,,,
107,860,USD,2022,7_to_9, - , - , - ,approved,5/28/2022 8:48,5/28/2022 8:48, - ,TRUE, - ,TRUE,,,,
108,385000,LKR,2022,7_to_9,masters,10_to_20,associate_tech_lead,approved,5/28/2022 8:56,5/28/2022 8:56,c#,TRUE,Learn new things every day,TRUE,,,,
109,100000,LKR,2022,1_to_3,bachelors_degree,50_to_100,software_engineer,approved,5/28/2022 9:56,5/28/2022 9:56,angular,FALSE, - ,TRUE,,,,
110,330000,LKR,2022,4_to_6,bachelors_degree,more_than_500,senior_software_engineer,approved,5/28/2022 10:03,5/28/2022 10:03,java,FALSE, - ,TRUE,,,,
111,1720,USD,2022,1_to_3,bachelors_degree,more_than_500,senior_software_engineer,approved,5/28/2022 10:37,5/28/2022 10:37, - ,TRUE, - ,TRUE,26,accurate,5/29/2022 3:52,5/29/2022 3:52
112,80000,LKR,2022,1_to_3,bachelors_degree,more_than_500,associate_software_engineer,approved,5/28/2022 10:41,5/28/2022 10:41,java,FALSE, - ,TRUE,,,,
113,510,AUD,2022,4_to_6,bachelors_degree,100_to_500,software_engineer,approved,5/28/2022 15:16,5/28/2022 15:16,wordpress,TRUE, - ,TRUE,,,,
114,650000,LKR,2022,15+,masters,10_to_20,architect,approved,5/28/2022 16:42,5/28/2022 16:42, - ,FALSE, - ,TRUE,,,,
115,1700,USD,2022,4_to_6,bachelors_degree,50_to_100,senior_system_engineer,approved,5/28/2022 18:20,5/28/2022 18:20, - ,TRUE, - ,TRUE,,,,
116,200000,LKR,2022,4_to_6,bachelors_degree,50_to_100,associate_tech_lead,approved,5/29/2022 2:38,5/29/2022 2:38,java,FALSE, - ,TRUE,,,,
117,350000,LKR,2022,4_to_6,bachelors_degree,100_to_500,software_engineer,approved,5/29/2022 3:28,5/29/2022 3:28,javascript,FALSE,"Keep working on hobby projects.
Never stop learning.
Learn as much as possible from seniors about good engineering practices.
Software Engineering is not just coding. Always keep that in mind.",TRUE,,,,
118,800,USD,2022,4_to_6,higher_diploma,50_to_100,senior_software_engineer,approved,5/29/2022 9:28,5/29/2022 9:28,sql,TRUE, - ,TRUE,,,,
119,85000,LKR,2022,1_to_3,bachelors_degree,more_than_500,associate_software_engineer,approved,5/29/2022 10:36,5/29/2022 10:36,java,FALSE, - ,TRUE,,,,
120,230000,LKR,2022,4_to_6,diploma,20_to_50,senior_system_engineer,approved,5/29/2022 11:04,5/29/2022 11:04, - ,FALSE, - ,TRUE,,,,
121,570000,LKR,2022,7_to_9,bachelors_degree,100_to_500,tech_lead,approved,5/29/2022 12:30,5/29/2022 12:30,.net,TRUE,always try foreign companies. especially European management.,TRUE,,,,
122,2720,USD,2022,4_to_6,bachelors_degree,20_to_50,senior_tech_lead,approved,5/29/2022 13:59,5/29/2022 13:59, - ,TRUE,Focus on basics and soft skills. Software engineering is not just only coding. ,TRUE,,,,
123,270000,LKR,2022,4_to_6,bachelors_degree,more_than_500,senior_software_engineer,approved,5/29/2022 14:52,5/29/2022 14:52,java,FALSE,"Get the fundamentals and core knowledge of you core technology correct. Don't limit yourself to a single technology or single silo like frontend or backend. Learn about data structures, design patterns and more importantly have an idea of how those tools can be used to resolve real world problems. Keep improving yourself and stay up to date with what's a happening out there.",TRUE,,,,
124,1600,LKR,2022,1_to_3,bachelors_degree,more_than_500,frontend_developer,rejected,5/29/2022 16:15,6/12/2022 17:46,html,TRUE,"Work hard, Do something special. Learn new things.",TRUE,,,,
125,300000,LKR,2022,4_to_6,bachelors_degree,more_than_500,senior_ui_ux_engineer,approved,5/29/2022 16:23,5/29/2022 16:23,html,FALSE,"Focus more on UX strategy and research based problem solving rather than creating ""Beautiful Screens"". Read product design related books and articles as much as you can.

No such thing called ""UI/UX"".. ( Yes! above title should change :p )

 ",TRUE,,,,
126,2800,USD,2022,10_to_14,masters,20_to_50,tech_lead,approved,5/29/2022 16:34,5/29/2022 16:34, - ,FALSE,During the first few years try to focus on learning new processes and technologies than the salary. Always learn how to market yourself. Don't be afraid to speak up,FALSE,,,,
127,35000,LKR,2022,0_to_1, - ,below_10,associate_software_engineer,approved,5/29/2022 16:42,5/29/2022 16:42,javascript,FALSE, - ,TRUE,,,,
128,1500,USD,2022,1_to_3,bachelors_degree,more_than_500, - ,approved,5/29/2022 16:49,5/29/2022 16:49,html,TRUE,"Work hard, Dont affraid on challenges",TRUE,,,,
129,133000,LKR,2021,4_to_6,bachelors_degree,more_than_500,senior_qa_engineer,approved,5/30/2022 3:15,5/30/2022 3:15, - ,FALSE, - ,TRUE,,,,
130,145000,LKR,2022,1_to_3,bachelors_degree,50_to_100,software_engineer,approved,5/30/2022 4:18,5/30/2022 4:18,asp_net,FALSE, - ,TRUE,,,,
131,481000,LKR,2022,4_to_6,bachelors_degree,100_to_500,tech_lead,approved,5/30/2022 4:22,5/30/2022 4:22,swift,TRUE, - ,TRUE,,,,
132,110000,LKR,2022,1_to_3,bachelors_degree,100_to_500,software_engineer,approved,5/30/2022 5:21,5/30/2022 5:21,java,FALSE, - ,TRUE,,,,
133,1000,GBP,2022,0_to_1,bachelors_degree,50_to_100,software_engineer,approved,5/30/2022 6:17,5/30/2022 6:17,java,FALSE, - ,FALSE,,,,
134,3000,AUD,2022,7_to_9,bachelors_degree,100_to_500,associate_qa_architect,approved,5/30/2022 6:34,5/30/2022 6:34,selenium,TRUE, - ,TRUE,,,,
135,230000,LKR,2022,4_to_6,bachelors_degree,more_than_500,system_engineer,approved,5/30/2022 9:51,5/30/2022 9:51, - ,FALSE, - ,TRUE,,,,
136,230000,LKR,2022,4_to_6,bachelors_degree,more_than_500,senior_software_engineer,approved,5/30/2022 10:05,5/30/2022 10:05,java,FALSE, - ,TRUE,,,,
137,1250,USD,2022,1_to_3,bachelors_degree,below_10,associate_tech_lead,approved,5/30/2022 10:19,5/30/2022 10:19,.net,TRUE, - ,TRUE,,,,
138,2600,USD,2022,10_to_14,higher_diploma,20_to_50,senior_software_engineer,approved,5/30/2022 10:57,5/30/2022 10:57,php,FALSE,"Dont be afraid to face challenges. Dont be afraid to fail many times. Take it as a lessen to move forward. Never stop learning new skills. Keep youe LinkedIn profile upto date and professional with positive reviews. Keep building pet projects. That will give you better understanding of what you learned in theory. One more thing, improve your confidence with communication skills.",FALSE,,,,
139,5850,AUD,2022,7_to_9,bachelors_degree,below_10,senior_software_engineer,approved,5/31/2022 0:18,5/31/2022 0:18,javascript,FALSE, - ,FALSE,,,,
140,165000,LKR,2022,7_to_9,masters,10_to_20,business_analyst,approved,5/31/2022 3:00,5/31/2022 3:00,c#,FALSE, - ,TRUE,,,,
141,352000,LKR,2022,7_to_9,higher_diploma,more_than_500,tech_lead,approved,5/31/2022 3:17,5/31/2022 3:17, - ,FALSE,"Work hard and smart
Be proactive
Take ownership of your work
Always work on the extra mile",TRUE,,,,
142,1675,AUD,2022,1_to_3,bachelors_degree,10_to_20,associate_tech_lead,approved,5/31/2022 4:21,5/31/2022 4:21,javascript,TRUE, - ,TRUE,,,,
143,120000,LKR,2022,1_to_3,bachelors_degree,more_than_500,associate_qa_engineer,approved,5/31/2022 8:19,5/31/2022 8:19,java,FALSE, - ,TRUE,,,,
144,2222,AUD,2022,7_to_9,higher_diploma,20_to_50,product_manager,approved,5/31/2022 9:44,5/31/2022 9:44,go,TRUE, - ,TRUE,,,,
145,6276,LKR,2022,1_to_3,higher_diploma,100_to_500,software_engineer,approved,5/31/2022 13:11,5/31/2022 13:11,reactjs,TRUE, - ,TRUE,,,,
146,523,USD,2022,1_to_3,higher_diploma,100_to_500,software_engineer,approved,5/31/2022 13:12,5/31/2022 13:12,reactjs,TRUE, - ,TRUE,,,,
147,35000,LKR,2022,0_to_1,higher_diploma,more_than_500, - ,approved,5/31/2022 13:25,5/31/2022 13:25, - ,FALSE,This was for internship placement (1 year).,TRUE,,,,
148,700,USD,2022,1_to_3,higher_diploma,100_to_500,software_engineer,approved,5/31/2022 14:55,5/31/2022 14:55,typescript,TRUE, - ,TRUE,,,,
